YEAR 2007 2008 2009 2010 2011 2013 2012 2018 2017 2016 2015 2014
BR_US_STORES 2763 2692 2597 2547 2457 2467 2463 2550 2560 2538 2529 2529
BR_I_STORES 3111 3321 3610 3886 4254 4833 4556 5491 5422 5284 5078 5023
BR_US_SALES 572 560 524 494 496 513.3 509.3 611.9 606.1 603.6 594.8 560.5
BR_I_SALES 723 800 970 1158 1292 1362.0 1356.8 1459.8 1348.2 1307.7 1273.5 1,335.6
